bandit	1.12.4	MIT
bunt	1.0.0	MIT
burrito	1.5.0	MIT
cc_precompiler	0.1.11	Apache-2.0
credo	1.7.16	MIT
date_time_parser	1.3.0	MIT
decimal	3.1.1	Apache-2.0
dialyxir	1.4.7	Apache-2.0
ecto	3.14.2	Apache-2.0
elixir_make	0.10.0	Apache-2.0
erlex	0.2.8	Apache-2.0
file_system	1.1.1	Apache-2.0
finch	0.23.0	MIT
fine	0.1.6	Apache-2.0
floki	0.38.0	MIT
hpax	1.0.4	Apache-2.0
jason	1.4.5	Apache-2.0
kday	1.1.0	Apache-2.0
lazy_html	0.1.12	Apache-2.0
mime	2.0.7	Apache-2.0
mint	1.9.3	Apache-2.0
nimble_options	1.1.1	Apache-2.0
nimble_pool	1.1.0	Apache-2.0
phoenix	1.8.11	MIT
phoenix_html	4.3.0	MIT
phoenix_live_view	1.1.33	MIT
phoenix_pubsub	2.2.0	MIT
phoenix_template	1.0.4	MIT
plug	1.20.3	Apache-2.0
plug_crypto	2.2.0	Apache-2.0
req	0.7.2	Apache-2.0
solid	1.3.3	MIT
telemetry	1.4.2	Apache-2.0
thousand_island	1.5.0	MIT
typed_struct	0.3.0	MIT
websock	0.5.3	MIT
websock_adapter	0.6.0	MIT
yamerl	0.10.0	BSD 2-Clause
yaml_elixir	2.12.0	MIT
